movieId,title,genresV
35,carrington,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
36,dead man walking,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
39,clueless,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
40,cry the beloved,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
41,richard iii,0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0
42,dead presidents,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0
43,restoration,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
44,mortal kombat,0|0|0|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0|0
45,to die for,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0
46,how to make,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
47,seven a k,1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
48,pocahontas,0|1|0|0|0|0|0|1|0|1|1|0|0|0|0|0|0|1|0|0
49,when night is,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
50,usual suspects the,1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0
52,mighty aphrodite,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
53,lamerica,0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0
54,big green the,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0
55,georgia,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
57,home for the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
58,postman the postino,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
59,confessional the confessionnal,1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
60,indian in the,0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0
61,eye for an,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
62,mr holland s,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
63,don t be,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0
64,two if by,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
65,bio dome,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
66,lawnmower man beyond,0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
68,french twist gazon,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
69,friday,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
70,from dusk till,0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|1|0
71,fair game,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
72,kicking and screaming,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
73,mis rables les,0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0
74,bed of roses,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
75,big bully,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
76,screamers,0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
78,crossing guard the,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|1|0
79,juror the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
80,white balloon the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
81,things to do,0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
82,antonia s line,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
83,once upon a,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
84,last summer in,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
85,angels and insects,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
86,white squall,0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|0|0|0|0|0
87,dunston checks in,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0
88,black sheep,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
89,nick of time,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
90,journey of august,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
92,mary reilly,0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
93,vampire in brooklyn,0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
94,beautiful girls,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
95,broken arrow,0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0
96,in the bleak,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
97,hate haine la,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
100,city hall,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
101,bottle rocket,0|1|0|0|0|0|1|0|0|0|0|0|1|0|0|1|0|0|0|0
102,mr wrong,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
103,unforgettable,1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
104,happy gilmore,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
105,bridges of madison,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
107,muppet treasure island,0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|1|0|1|0|0
108,catwalk,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
110,braveheart,0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0
111,taxi driver,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0
112,rumble in the,0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|1|0|0|0|0
113,before and after,1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
114,margaret s museum,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
115,happiness is in,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
116,anne frank remembered,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
117,young poisoner s,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
118,if lucy fell,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
121,boys of st,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
122,boomerang,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
123,chungking express chung,1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
124,star maker the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
125,flirting with disaster,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
126,neverending story iii,0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0
129,pie in the,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
131,frankie starlight,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
132,jade,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
135,down periscope,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
137,man of the,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
138,neon bible the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
140,up close and,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
141,birdcage the,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
144,brothers mcmullen the,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
145,bad boys,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|1|0|0|1|0
146,amazing panda adventure,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
147,basketball diaries the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
149,amateur,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0
150,apollo,0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0
151,rob roy,0|1|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0
152,addiction the,0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
153,batman forever,0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|1|0|0|0|0
154,beauty of the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
155,beyond rangoon,0|0|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0|0|0
156,blue in the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
157,canadian bacon,0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
158,casper,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
159,clockers,1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
160,congo,1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
161,crimson tide,0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0
162,crumb,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
163,desperado,0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1
164,devil in a,1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|1|0
165,die hard with,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
166,doom generation the,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0
168,first knight,0|1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0
169,free willy the,0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0
170,hackers,0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|0|0|0|1|0
171,jeffrey,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
172,johnny mnemonic,0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
173,judge dredd,0|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0
174,jury duty,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
175,kids,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
176,living in oblivion,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
177,lord of illusions,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
178,love human remains,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
179,mad love,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
180,mallrats,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
181,mighty morphin power,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0
182,moonlight and valentino,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
183,mute witness,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0
184,nadja,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
185,net the,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
186,nine months,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
187,party girl,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
188,prophecy the,1|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
190,safe,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
191,scarlet letter the,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
193,showgirls,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
194,smoke,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
195,something to talk,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
196,species,0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
198,strange days,1|0|0|1|0|0|1|1|0|0|0|0|0|1|0|0|0|0|1|0
199,umbrellas of cherbourg,0|1|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0
200,tie that binds,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
201,three wishes,0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
202,total eclipse,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
203,to wong foo,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
204,under siege dark,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
205,unstrung heroes,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
206,unzipped,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
207,walk in the,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
208,waterworld,0|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
209,white man s,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
210,wild bill,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
211,browning version the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
212,bushwhacked,1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1|0|0|0|0
213,burnt by the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
214,before the rain,0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0
215,before sunrise,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
216,billy madison,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
217,babysitter the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
218,boys on the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
219,cure the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
220,castle freak,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
222,circle of friends,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
223,clerks,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
224,don juan demarco,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
225,disclosure,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
226,dream man,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
227,drop zone,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
228,destiny turns on,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
229,death and the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
230,dolores claiborne,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
231,dumb dumber dumb,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0
232,eat drink man,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
233,exotica,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
234,exit to eden,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
235,ed wood,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
236,french kiss,0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
237,forget paris,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
238,far from home,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
239,goofy movie a,0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|0|0
240,hideaway,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
241,fluke,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
242,farinelli il castrato,0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0
243,gordy,0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|1|0|0
245,the glass shield,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
246,hoop dreams,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
247,heavenly creatures,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
248,houseguest,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
249,immortal beloved,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
250,heavyweights heavy weights,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0
251,hunted the,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
252,i q,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
253,interview with the,0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
254,jefferson in paris,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
255,jerky boys the,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
256,junior,0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
257,just cause,1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
258,kid in king,0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|1|0|1|0|0
259,kiss of death,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0
260,star wars episode,0|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
261,little women,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
262,little princess a,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
263,ladybird ladybird,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
265,like water for,0|1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
266,legends of the,0|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|1
267,major payne,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
268,little odessa,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
269,my crazy life,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
270,love affair,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
271,losing isaiah,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
272,madness of king,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
273,mary shelley s,0|0|0|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
274,man of the,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
275,mixed nuts,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
276,milk money,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
277,miracle on th,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
278,miami rhapsody,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
279,my family,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
280,murder in the,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
281,nobody s fool,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
282,nell,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
283,new jersey drive,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
288,natural born killers,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
289,only you,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
290,once were warriors,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
291,poison ivy ii,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
292,outbreak,0|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|1|0
293,l on the,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|1|0
294,perez family the,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
296,pulp fiction,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|1|0
298,pushing hands tui,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
299,priest,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
300,quiz show,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
301,picture bride bijo,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
302,queen margot reine,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
303,quick and the,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1
304,roommates,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
305,ready to wear,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
306,three colors red,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
307,three colors blue,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
308,three colors white,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
309,red firecracker green,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
312,stuart saves his,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
313,swan princess the,0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0
314,secret of roan,1|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|1|0|0
315,specialist the,0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|1|0
316,stargate,0|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
317,santa clause the,0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|1|0|0|0|0
318,shawshank redemption the,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
319,shallow grave,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0
320,suture,0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0
321,strawberry and chocolate,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
322,swimming with sharks,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
324,sum of us,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
325,national lampoon s,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
326,to live huozhe,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
327,tank girl,0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
328,tales from the,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
329,star trek generations,0|0|0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0
330,tales from the,0|0|0|0|1|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0
331,tom viv,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
332,village of the,0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
